iter	ERR:top=10	NDCG:top=5;type=Exp	PrecisionAt:top=10	AverageGain:top=5	MAP:top=10
58	0.6246797113	0.4377966051	0.4742857143	0.4983850916	0.2943469388
59	0.6246857171	0.4339751117	0.4742857143	0.4926708059	0.293792517
60	0.6274793287	0.4367459041	0.4771428571	0.495403725	0.2963117914
61	0.6246373313	0.4347301831	0.4771428571	0.4942857128	0.2956043084
62	0.6246172971	0.4320922524	0.4742857143	0.4908074518	0.293377551
63	0.624777427	0.4324313742	0.4771428571	0.4908074518	0.2950748299
64	0.6246897852	0.4334124219	0.48	0.4924223586	0.2961655329
65	0.62765035	0.4352146528	0.48	0.4925465825	0.2968367347
66	0.6247235487	0.4355942582	0.48	0.4940372658	0.2967244898
67	0.6247518402	0.4344706626	0.48	0.4921739115	0.2964943311
68	0.6271685202	0.4353080271	0.4857142857	0.4921739115	0.2985022676
69	0.6237952179	0.4338711151	0.48	0.4921739115	0.2953095238
70	0.6237677836	0.4288301862	0.4857142857	0.4850931662	0.297031746
71	0.6265203225	0.4267206646	0.4857142857	0.4804968928	0.2977789116
72	0.6236295982	0.4266203229	0.4857142857	0.4822360232	0.297175737
73	0.6244754388	0.4303428444	0.48	0.4865838494	0.2950634921
74	0.6215263733	0.4290120613	0.48	0.4864596258	0.2941111111
75	0.6215224963	0.4289919368	0.48	0.4864596258	0.2943662132
76	0.6214988033	0.4276385217	0.4771428571	0.4847204955	0.2941428571
77	0.6239831758	0.428023358	0.48	0.4842236013	0.2952312925
78	0.6270766115	0.4286926561	0.48	0.4833540361	0.2958027211
79	0.6155508305	0.4215942002	0.48	0.4782608681	0.2941349206
80	0.6186888773	0.4255916618	0.4857142857	0.4827329179	0.2968356009
81	0.6185316384	0.4261397761	0.4828571429	0.4838509303	0.2956235828
82	0.6185457578	0.4273774377	0.4828571429	0.4854658371	0.295776644
83	0.6129543229	0.4256530123	0.4828571429	0.4852173899	0.2943004535
84	0.6152138361	0.4253856154	0.4828571429	0.4840993774	0.2950782313
85	0.615195832	0.4245796381	0.4828571429	0.4831055885	0.2946496599
86	0.6151988779	0.4222805415	0.4828571429	0.4791304334	0.2939092971
