ticker,industry,index
WES,Oil & Gas,DJUSEN
MMP,Oil & Gas,DJUSEN
AR,Oil & Gas,DJUSEN
DINO,Oil & Gas,DJUSEN
PAA,Oil & Gas,DJUSEN
NOV,Oil & Gas,DJUSEN
DCP,Oil & Gas,DJUSEN
HESM,Oil & Gas,DJUSEN
SWN,Oil & Gas,DJUSEN
MTDR,Oil & Gas,DJUSEN
MUR,Oil & Gas,DJUSEN
RRC,Oil & Gas,DJUSEN
NFG,Oil & Gas,DJUSEN
PDCE,Oil & Gas,DJUSEN
DTM,Oil & Gas,DJUSEN
ENLC,Oil & Gas,DJUSEN
CHRD,Oil & Gas,DJUSEN
FTI,Oil & Gas,DJUSEN
AM,Oil & Gas,DJUSEN
HP,Oil & Gas,DJUSEN
PBF,Oil & Gas,DJUSEN
CIVI,Oil & Gas,DJUSEN
MGY,Oil & Gas,DJUSEN
NE,Oil & Gas,DJUSEN
VAL,Oil & Gas,DJUSEN
KNTK,Oil & Gas,DJUSEN
SM,Oil & Gas,DJUSEN
DEN,Oil & Gas,DJUSEN
WHD,Oil & Gas,DJUSEN
PTEN,Oil & Gas,DJUSEN
CRK,Oil & Gas,DJUSEN
ACDC,Oil & Gas,DJUSEN
CRC,Oil & Gas,DJUSEN
ETRN,Oil & Gas,DJUSEN
CVI,Oil & Gas,DJUSEN
WFRD,Oil & Gas,DJUSEN
CNX,Oil & Gas,DJUSEN
CEQP,Oil & Gas,DJUSEN
RIG,Oil & Gas,DJUSEN
LBRT,Oil & Gas,DJUSEN
PR,Oil & Gas,DJUSEN
KOS,Oil & Gas,DJUSEN
NOG,Oil & Gas,DJUSEN
PAGP,Oil & Gas,DJUSEN
NEX,Oil & Gas,DJUSEN
HPK,Oil & Gas,DJUSEN
HEP,Oil & Gas,DJUSEN
CPE,Oil & Gas,DJUSEN
CRGY,Oil & Gas,DJUSEN
USAC,Oil & Gas,DJUSEN
DKL,Oil & Gas,DJUSEN
KO,Food & Beverage,DJUSFB
PEP,Food & Beverage,DJUSFB
MDLZ,Food & Beverage,DJUSFB
KDP,Food & Beverage,DJUSFB
MNST,Food & Beverage,DJUSFB
GIS,Food & Beverage,DJUSFB
KHC,Food & Beverage,DJUSFB
HSY,Food & Beverage,DJUSFB
STZ,Food & Beverage,DJUSFB
BF.A,Food & Beverage,DJUSFB
KR,Food & Beverage,DJUSFB
IFF,Food & Beverage,DJUSFB
HRL,Food & Beverage,DJUSFB
CCEP,Food & Beverage,DJUSFB
K,Food & Beverage,DJUSFB
MKC,Food & Beverage,DJUSFB
TSN,Food & Beverage,DJUSFB
CAG,Food & Beverage,DJUSFB
CPB,Food & Beverage,DJUSFB
SJM,Food & Beverage,DJUSFB
LW,Food & Beverage,DJUSFB
TAP,Food & Beverage,DJUSFB
ACI,Food & Beverage,DJUSFB
DAR,Food & Beverage,DJUSFB
CELH,Food & Beverage,DJUSFB
USFD,Food & Beverage,DJUSFB
INGR,Food & Beverage,DJUSFB
FLO,Food & Beverage,DJUSFB
ASH,Food & Beverage,DJUSFB
LANC,Food & Beverage,DJUSFB
POST,Food & Beverage,DJUSFB
BROS,Food & Beverage,DJUSFB
COKE,Food & Beverage,DJUSFB
FIZZ,Food & Beverage,DJUSFB
SAM,Food & Beverage,DJUSFB
BCPC,Food & Beverage,DJUSFB
SMPL,Food & Beverage,DJUSFB
SFM,Food & Beverage,DJUSFB
TWNK,Food & Beverage,DJUSFB
SXT,Food & Beverage,DJUSFB
TR,Food & Beverage,DJUSFB
JJSF,Food & Beverage,DJUSFB
NOMD,Food & Beverage,DJUSFB
GO,Food & Beverage,DJUSFB
CALM,Food & Beverage,DJUSFB
FRPT,Food & Beverage,DJUSFB
THS,Food & Beverage,DJUSFB
UTZ,Food & Beverage,DJUSFB
DNUT,Food & Beverage,DJUSFB
UNFI,Food & Beverage,DJUSFB
WMK,Food & Beverage,DJUSFB
NAPA,Food & Beverage,DJUSFB
IMKTA,Food & Beverage,DJUSFB
HAIN,Food & Beverage,DJUSFB
SOVO,Food & Beverage,DJUSFB
BRCC,Food & Beverage,DJUSFB
CHEF,Food & Beverage,DJUSFB
SPTN,Food & Beverage,DJUSFB
ARKO,Food & Beverage,DJUSFB
WEST,Food & Beverage,DJUSFB
FCX,Industrial Metals & Mining,DJUSIM
SCCO,Industrial Metals & Mining,DJUSIM
NUE,Industrial Metals & Mining,DJUSIM
NEM,Industrial Metals & Mining,DJUSIM
GOLD,Industrial Metals & Mining,DJUSIM
VMC,Industrial Metals & Mining,DJUSIM
MLM,Industrial Metals & Mining,DJUSIM
STLD,Industrial Metals & Mining,DJUSIM
RS,Industrial Metals & Mining,DJUSIM
CLF,Industrial Metals & Mining,DJUSIM
AA,Industrial Metals & Mining,DJUSIM
RGLD,Industrial Metals & Mining,DJUSIM
MHK,Industrial Metals & Mining,DJUSIM
X,Industrial Metals & Mining,DJUSIM
TX,Industrial Metals & Mining,DJUSIM
CMC,Industrial Metals & Mining,DJUSIM
MP,Industrial Metals & Mining,DJUSIM
UFPI,Industrial Metals & Mining,DJUSIM
TREX,Industrial Metals & Mining,DJUSIM
EXP,Industrial Metals & Mining,DJUSIM
LPX,Industrial Metals & Mining,DJUSIM
ATI,Industrial Metals & Mining,DJUSIM
SUM,Industrial Metals & Mining,DJUSIM
HL,Industrial Metals & Mining,DJUSIM
SSRM,Industrial Metals & Mining,DJUSIM
WOR,Industrial Metals & Mining,DJUSIM
ARNC,Industrial Metals & Mining,DJUSIM
NG,Industrial Metals & Mining,DJUSIM
CRS,Industrial Metals & Mining,DJUSIM
KALU,Industrial Metals & Mining,DJUSIM
BRK.A,Insurance,DJUSIR
CB,Insurance,DJUSIR
MMC,Insurance,DJUSIR
PGR,Insurance,DJUSIR
AON,Insurance,DJUSIR
MET,Insurance,DJUSIR
AIG,Insurance,DJUSIR
AFL,Insurance,DJUSIR
TRV,Insurance,DJUSIR
AJG,Insurance,DJUSIR
PRU,Insurance,DJUSIR
ALL,Insurance,DJUSIR
WTW,Insurance,DJUSIR
HIG,Insurance,DJUSIR
ACGL,Insurance,DJUSIR
WRB,Insurance,DJUSIR
MKL,Insurance,DJUSIR
CINF,Insurance,DJUSIR
BRO,Insurance,DJUSIR
L,Insurance,DJUSIR
RE,Insurance,DJUSIR
ERIE,Insurance,DJUSIR
AFG,Insurance,DJUSIR
GL,Insurance,DJUSIR
CNA,Insurance,DJUSIR
RYAN,Insurance,DJUSIR
FNF,Insurance,DJUSIR
RGA,Insurance,DJUSIR
RNR,Insurance,DJUSIR
UNM,Insurance,DJUSIR
ORI,Insurance,DJUSIR
AIZ,Insurance,DJUSIR
KNSL,Insurance,DJUSIR
VOYA,Insurance,DJUSIR
RLI,Insurance,DJUSIR
FAF,Insurance,DJUSIR
LNC,Insurance,DJUSIR
SIGI,Insurance,DJUSIR
PRI,Insurance,DJUSIR
THG,Insurance,DJUSIR
AXS,Insurance,DJUSIR
ESNT,Insurance,DJUSIR
ACT,Insurance,DJUSIR
MTG,Insurance,DJUSIR
ESGR,Insurance,DJUSIR
AGO,Insurance,DJUSIR
BHF,Insurance,DJUSIR
MSPR,Insurance,DJUSIR
AEL,Insurance,DJUSIR
KMPR,Insurance,DJUSIR
BRP,Insurance,DJUSIR
RDN,Insurance,DJUSIR
HGTY,Insurance,DJUSIR
CRVL,Insurance,DJUSIR
CNO,Insurance,DJUSIR
GNW,Insurance,DJUSIR
TRUP,Insurance,DJUSIR
MCY,Insurance,DJUSIR
NMIH,Insurance,DJUSIR
HMN,Insurance,DJUSIR
UNH,Health Care Equipment & Services,DJUSMC
TMO,Health Care Equipment & Services,DJUSMC
DHR,Health Care Equipment & Services,DJUSMC
ABT,Health Care Equipment & Services,DJUSMC
ELV,Health Care Equipment & Services,DJUSMC
MDT,Health Care Equipment & Services,DJUSMC
CI,Health Care Equipment & Services,DJUSMC
ISRG,Health Care Equipment & Services,DJUSMC
SYK,Health Care Equipment & Services,DJUSMC
BDX,Health Care Equipment & Services,DJUSMC
HUM,Health Care Equipment & Services,DJUSMC
CNC,Health Care Equipment & Services,DJUSMC
A,Health Care Equipment & Services,DJUSMC
EW,Health Care Equipment & Services,DJUSMC
DXCM,Health Care Equipment & Services,DJUSMC
IQV,Health Care Equipment & Services,DJUSMC
MTD,Health Care Equipment & Services,DJUSMC
RMD,Health Care Equipment & Services,DJUSMC
