ticker,date,absoluteReturn,relativeToSPReturn,nextPeriodRelativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
UNH,2019-03-29,-0.007466281310212,-0.1381281844665829,-0.0510216030290663,247.26,3.555897435897436,2.7405,57.9538,0.3505,235638780000,18.6762,1.025,27.9524,4.1702,1.1064,0.7265,0.1281,-64.92864637985309,0.0845,0.0578,0.0805,0.2238
UNH,2019-06-28,-0.0131440588853838,-0.0510216030290663,-0.1212715972618729,244.01,3.41597510373444,5.6628,60.224,0.3472,231321480000,17.8104,0.9878,22.3175,3.9844,1.0613,0.6744,0.1267,-70.78691983122363,0.0802,0.0548,0.079,0.2267
UNH,2019-09-30,-0.1093807630834801,-0.1212715972618729,0.2674100066441455,217.32,3.673935617860852,2.8099,62.0425,0.3439,205802040000,15.4297,0.8651,16.2368,3.4445,0.9605,0.695,0.1242,-74.36219640971488,0.0877,0.059,0.0782,0.2264
UNH,2019-12-31,0.3527517025584393,0.2674100066441455,0.0482995030762887,293.98,3.677050882658359,5.7684,64.5503,0.3574,278693040000,20.1382,1.1599,17.0017,4.4833,1.2538,0.69,0.1276,-72.88291139240506,0.0889,0.0585,0.0796,0.227
UNH,2020-03-31,-0.1517110007483502,0.0482995030762887,-0.0167955414123461,249.38,3.515592515592516,2.5717,64.0374,0.3258,236162860000,17.1704,0.9662,14.5833,3.8335,1.0125,0.7481,0.1221,-72.49841605068637,0.0835,0.0527,0.0757,0.2222
UNH,2020-06-30,0.1827331782821396,-0.0167955414123461,-0.0277106059109911,294.95,6.913541666666666,9.95,71.2052,0.3551,280202500000,16.388,1.138,13.8119,4.0991,1.1961,0.843,0.1442,-68.64,0.1556,0.1074,0.0896,0.2631
UNH,2020-09-30,0.0570266146804542,-0.0277106059109911,0.0079227595199444,311.77,3.2972972972972974,2.6715,72.7141,0.3662,295869730000,17.6828,1.1783,14.6826,4.2296,1.2543,0.8231,0.1408,-69.75447839831402,0.0774,0.0489,0.0872,0.2419
UNH,2020-12-31,0.1248035410719441,0.0079227595199444,0.0032705987149377,350.68,2.301768990634756,5.7513,73.4016,0.3575,331743280000,21.5375,1.2977,16.4857,4.7029,1.3715,0.7417,0.1296,-77.20084566596195,0.0585,0.034,0.0793,0.2192
UNH,2021-03-31,0.0609957796281509,0.0032705987149377,-0.0054572005409874,372.07,5.080459770114943,5.6812,73.7533,0.344,351234080000,20.804,1.344,15.2141,4.9762,1.3995,0.7379,0.146,-79.53495762711864,0.101,0.0697,0.0838,0.2392
UNH,2021-06-30,0.0762490929126239,-0.0054572005409874,-0.0265596054010091,400.44,4.46234309623431,5.2071,76.6956,0.3486,377614920000,26.0208,1.397,20.3983,5.1501,1.4776,0.7695,0.1239,-82.77306468716861,0.0876,0.0602,0.0698,0.2016
UNH,2021-09-30,-0.0242233543102586,-0.0265596054010091,0.1786262711584482,390.74,4.278534031413613,7.2785,78.1486,0.3503,368077080000,23.8608,1.327,16.0781,4.9318,1.3972,0.7742,0.1262,-81.53184713375796,0.0835,0.0568,0.0728,0.2085
UNH,2021-12-31,0.2851000665404104,0.1786262711584482,0.0650605513856646,502.14,4.25836820083682,2.6391,79.9989,0.3603,472513740000,27.3366,1.6563,23.7575,6.1783,1.7211,0.7888,0.1385,-78.6068012752391,0.0754,0.0558,0.0812,0.2287
UNH,2022-03-31,0.0155932608435895,0.0650605513856646,0.1716278470300944,509.97,5.269392033542977,4.9937,81.3909,0.3509,478861830000,27.4419,1.6215,24.9199,6.1671,1.6635,0.7829,0.1356,-79.40575079872204,0.0923,0.063,0.0805,0.2264
UNH,2022-06-30,0.0071768927583974,0.1716278470300944,0.0360472909829214,513.63,5.336842105263158,6.541,85.3968,0.3524,480244050000,26.3089,1.5767,23.4815,5.9196,1.6352,0.7706,0.1347,-86.29839572192513,0.0954,0.0633,0.0808,0.2299
UNH,2022-09-30,-0.016724101006561,0.0360472909829214,,505.04,5.550632911392405,18.8027,87.4694,0.3411,472405830320,24.3132,1.5086,15.0803,5.697,1.5179,0.8216,0.1401,-82.53945175398741,0.0967,0.0654,0.0821,0.2368
