iter	ERR	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
110	0.8943484157	0.7837209302	0.3411159114	0.6951162791
111	0.8943991081	0.7837209302	0.3411159114	0.6944509044
112	0.8943583343	0.7813953488	0.340104789	0.6930509413
113	0.8896435006	0.7860465116	0.3421270337	0.6984126984
114	0.8993810777	0.788372093	0.3431381561	0.7017524917
115	0.9003203087	0.788372093	0.3431381561	0.7006247693
116	0.8986567317	0.788372093	0.3431381561	0.6990420819
117	0.8993761989	0.7906976744	0.3441492784	0.7033314876
118	0.8991824012	0.7860465116	0.3421270337	0.6979374308
119	0.8992283286	0.788372093	0.3431381561	0.7016851237
120	0.8992280581	0.7906976744	0.3441492784	0.7036221853
121	0.8987266448	0.7906976744	0.3441492784	0.7036877076
122	0.9005062523	0.7930232558	0.3451604008	0.7064719454
123	0.90194829	0.7930232558	0.3451604008	0.7069832041
124	0.9015617708	0.7953488372	0.3461715231	0.7087255445
125	0.9007180633	0.7930232558	0.3451604008	0.705663529
126	0.9004717951	0.8	0.3481937678	0.7114996309
127	0.8989586413	0.8023255814	0.3492048902	0.7148458841
128	0.8990963336	0.8023255814	0.3492048902	0.7148108158
129	0.8993751707	0.8023255814	0.3492048902	0.7148301956
130	0.9019114747	0.8069767442	0.3512271348	0.7216140642
131	0.9042988744	0.8046511628	0.3502160125	0.7202528608
132	0.9003082612	0.8046511628	0.3502160125	0.7189904024
133	0.9005089197	0.8023255814	0.3492048902	0.717960502
134	0.9008360044	0.8046511628	0.3502160125	0.7201144334
135	0.9010813014	0.8023255814	0.3492048902	0.7180943152
136	0.9011368612	0.8	0.3481937678	0.7169121447
137	0.9009548231	0.8	0.3481937678	0.7173726467
138	0.9029586081	0.8	0.3481937678	0.718906423
139	0.9007934351	0.8046511628	0.3502160125	0.7249944629
140	0.9032202225	0.8069767442	0.3512271348	0.7261858619
141	0.9036876523	0.8069767442	0.3512271348	0.7262329273
142	0.9044261001	0.8093023256	0.3522382572	0.7278829827
143	0.9034966211	0.8093023256	0.3522382572	0.7272794389
144	0.9009720111	0.8046511628	0.3502160125	0.7238547434
145	0.9028250478	0.8023255814	0.3492048902	0.7213704319
146	0.9020820253	0.8	0.3481937678	0.7197905131
147	0.9008415043	0.8	0.3481937678	0.7195653378
148	0.906240042	0.8046511628	0.3502160125	0.7246483942
149	0.9044375273	0.8046511628	0.3502160125	0.723802141
